TIPO;MARCA;MODELO;VERSÃO;
Carro;Audi;A3;1.8 20V Turbo 150Cv 4P Gasolina Automático;
Carro;Audi;A3;1.8 20V Turbo 150Cv 4P Gasolina Manual;
Carro;Audi;A3;1.8 20V Turbo 180Cv 2P Gasolina Manual;
Carro;Audi;A3;1.8 20V Turbo 180Cv 2P Gasolina Tiptronic;
Carro;Audi;A3;1.8 20V Turbo 180Cv 4P Gasolina Manual;
Carro;Audi;A3;1.8 20V Turbo 180Cv 4P Gasolina Tiptronic;
Carro;Audi;A3;1.8 Tfsi 16V 180Cv 2P Gasolina S-Tronic;
Carro;Audi;A3;1.8 Tfsi 180Cv 16V Sedan Gasolina 4P S Tronic;
Carro;Audi;A3;1.8 Tfsi 180Cv 16V Sedan Gasolina 4P S-Tronic;
Carro;Audi;A3;1.8 Tfsi 180Cv 16V Sportback Gasolina 4P S Tronic;
Carro;Audi;A3;1.8 Tfsi Ambition 16V 180Cv 4P Gasolina S-Tronic;
Carro;Audi;A3;1.8 Tfsi Ambition 180Cv 16V Conversível Gasolina 2P S-Tronic;
Carro;Audi;A3;1.8 Tfsi Ambition 180Cv 16V Sedan Gasolina 4P S Tronic;
Carro;Audi;A3;1.8 Tfsi Ambition 180Cv 16V Sedan Gasolina 4P S-Tronic;
Carro;Audi;A3;1.8 Tfsi Ambition 180Cv 16V Sportback Gasolina 4P S Tronic;
Carro;Audi;A3;1.8 Tfsi Ambition 180Cv 16V Sportback Gasolina 4P S-Tronic;
Carro;Audi;A3;1.8 Tfsi Cabriolet Ambition 16V 180Cv 2P Gasolina S-Tronic;
Carro;Audi;A3;1.8 Tfsi Cabriolet Ambition 16V 180Cv Gasolina 2P S-Tronic;
Carro;Audi;A3;1.8 Tfsi Sedan 16V 180Cv 4P Gasolina S-Tronic;
Carro;Audi;A3;1.8 Tfsi Sedan Ambition 16V 180Cv 4P Gasolina Automático;
Carro;Audi;A3;1.8 Tfsi Sedan Attraction 16V 180Cv 4P Gasolina S-Tronic;
Carro;Audi;A3;1.8 Tfsi Sedan Sport Ambition 16V 180Cv 4P Gasolina S-Tronic;
Carro;Audi;A3;1.8 Tfsi Sport 180Cv 16V Gasolina 2P S-Tronic;
Carro;Audi;A3;1.8 Tfsi Sportback 20V 180Cv Gasolina 2P Automático;
Carro;Audi;A3;2.0 Fsi 20V Turbo 200Cv 2P Gasolina S-Tronic;
Carro;Audi;A3;2.0 Fsi Attraction 200Cv 4P Gasolina S-Tronic;
Carro;Audi;A3;2.0 Tfsi 200Cv 16V Sportback Gasolina 4P Manual;
Carro;Audi;A3;2.0 Tfsi 200Cv 16V Sportback Gasolina 4P S Tronic;
Carro;Audi;A3;2.0 Tfsi 200Cv 16V Sportback Gasolina 4P S-Tronic;
Carro;Audi;A3;2.0 Tfsi Ambition 220Cv 16V Sedan Gasolina 4P Automatizado;
Carro;Audi;A3;2.0 Tfsi Attraction 200Cv 16V Sportback Gasolina 4P S Tronic;
Carro;Audi;A3;2.0 Tfsi Attraction 200Cv 16V Sportback Gasolina 4P S-Tronic;
Carro;Audi;A3;2.0 Tfsi Sport 16V Gasolina 2P S-Tronic;
Carro;Audi;A3;2.0 Tfsi Sport 200Cv 16V Gasolina 2P S Tronic;
Carro;Audi;A3;2.0 Tfsi Sport 200Cv 16V Gasolina 2P S-Tronic;
Carro;Audi;A4;1.8 20V Sedan Gasolina 4P Automático;
Carro;Audi;A4;1.8 20V Sedan Gasolina 4P Manual;
Carro;Audi;A4;1.8 20V Turbo Gasolina 4P Automático;
Carro;Audi;A4;1.8 20V Turbo Sedan Gasolina 4P Automático;
Carro;Audi;A4;1.8 20V Turbo Sedan Gasolina 4P Manual;
Carro;Audi;A4;1.8 Multitronic 20V Turbo Sedan Gasolina 4P Automático;
Carro;Audi;A4;1.8 Avant 20V Turbo Gasolina 4P Automático;
Carro;Audi;A4;1.8 Avant 20V Turbo Gasolina 4P Manual;
Carro;Audi;A4;1.8 Avant 20V Gasolina 4P Automático;
Carro;Audi;A4;1.8 Avant 20V Gasolina 4P Manual;
Carro;Audi;A4;1.8 Exclusive 20V Turbo Gasolina 4P Automático;
Carro;Audi;A4;1.8 Exclusive 20V Turbo Sedan Gasolina 4P Automático;
Carro;Audi;A4;1.8 20V Gasolina 4P Manual;
Carro;Audi;A4;1.8 20V Turbo Exclusive Multitronic 163Cv 4P Gasolina;
Carro;Audi;A4;1.8 20V Turbo Gasolina 4P Automático;
Carro;Audi;A4;1.8 20V Turbo Gasolina 4P Tiptronic;
Carro;Audi;A4;1.8 20V Turbo Multitronic 150Cv 4P Gasolina;
Carro;Audi;A4;1.8 20V Turbo Multitronic 163Cv 4P Gasolina;
Carro;Audi;A4;1.8 20V Turbo Sport Multitronic 163Cv 4P Gasolina;
Carro;Audi;A4;1.8 20V Turbo Sportplus Multitronic 163Cv 4P Gasolina;
Carro;Audi;A4;1.8 Ambiente 16V Tfsi Multitronic 170Cv 4P Gasolina;
Carro;Audi;A4;1.8 Ambiente Tfsi Multitronic 170Cv 4P Gasolina;
Carro;Audi;A4;1.8 Attraction 16V Tfsi Multitronic 170Cv 4P Gasolina;
Carro;Audi;A4;1.8 Avant 20V Gasolina 4P Automático;
Carro;Audi;A4;1.8 Avant 20V Gasolina 4P Multitronic;
Carro;Audi;A4;1.8 Avant 20V Turbo Gasolina 4P Manual;
Carro;Audi;A4;1.8 Avant 20V Turbo Gasolina 4P Multitronic;
Carro;Audi;A4;1.8 Avant Multitronic 20V Turbo Gasolina 4P;
Carro;Audi;A4;1.8 Avant Multitronic Exclusive 20V Turbo Gasolina 4P;
Carro;Audi;A4;1.8 Avant Multitronic Sport 20V Turbo Gasolina 4P;
Carro;Audi;A4;1.8 Exclusive Limousine 20V Turbo Gasolina 4P Multitronic;
Carro;Audi;A4;1.8 Limousine 20V Turbo Gasolina 4P Multitronic;
Carro;Audi;A4;1.8 Multitronic 20V Turbo Sedan Gasolina 4P;
Carro;Audi;A4;1.8 Multitronic Exclusive 20V Turbo Sedan Gasolina 4P;
Carro;Audi;A4;1.8 Multitronic Sport 20V Turbo Sedan Gasolina 4P;
Carro;Audi;A4;1.8 Tfsi Ambiente 16V Gasolina 4P Automático;
